Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,RandomSampling,0.0,0.0,0.0
7z,RandomSampling,0.001,0.5,0.45190173942198886
7z,RandomSampling,0.002,0.73,0.6997691514516922
7z,RandomSampling,0.003,0.87,0.8356422658895719
7z,RandomSampling,0.004,0.93,0.9100787381513464
7z,RandomSampling,0.005,0.98,0.9508332470005116
7z,RandomSampling,0.006,0.98,0.9731331331631784
7z,RandomSampling,0.007,0.99,0.9853276950194682
7z,RandomSampling,0.008,1.0,0.9919921677905597
7z,RandomSampling,0.009,1.0,0.9956321637768457
7z,RandomSampling,0.01,1.0,0.997619040801602
7z,RandomSampling,0.011,1.0,0.9987029065988455
7z,RandomSampling,0.012,1.0,0.9992938065304313
7z,RandomSampling,0.013,1.0,0.999615754531509
7z,RandomSampling,0.014,1.0,0.9997910579363992
7z,RandomSampling,0.015,1.0,0.9998864532968113
7z,RandomSampling,0.016,1.0,0.9999383328102933
7z,RandomSampling,0.017,1.0,0.9999665293445531
7z,RandomSampling,0.018,1.0,0.9999818446694695
7z,RandomSampling,0.019,1.0,0.9999901582249261
7z,RandomSampling,0.02,1.0,0.9999946682289628
7z,RandomSampling,0.021,1.0,0.99999711332578
7z,RandomSampling,0.022,1.0,0.9999984381053858
7z,RandomSampling,0.023,1.0,0.9999991554355536
7z,RandomSampling,0.024,1.0,0.9999995436054836
7z,RandomSampling,0.025,1.0,0.9999997535243419
7z,RandomSampling,0.026,1.0,0.9999998669750563
7z,RandomSampling,0.027,1.0,0.9999999282508102
7z,RandomSampling,0.028,1.0,0.9999999613254543
7z,RandomSampling,0.029,1.0,0.9999999791667429
7z,RandomSampling,0.03,1.0,0.9999999887846639
7z,RandomSampling,0.031,1.0,0.9999999939662125
7z,RandomSampling,0.032,1.0,0.9999999967559335
7z,RandomSampling,0.033,1.0,0.9999999982569456
7z,RandomSampling,0.034,1.0,0.9999999990640493
7z,RandomSampling,0.035,1.0,0.9999999994977553
7z,RandomSampling,0.036,1.0,0.9999999997306621
7z,RandomSampling,0.037,1.0,0.999999999855656
7z,RandomSampling,0.038,1.0,0.9999999999226931
7z,RandomSampling,0.039,1.0,0.9999999999586233
