Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,RandomSampling,0.0,0.0,0.0
7z,RandomSampling,0.001,0.21,0.2600336748760569
7z,RandomSampling,0.002,0.32,0.45261495558317344
7z,RandomSampling,0.003,0.49,0.5951979978951478
7z,RandomSampling,0.004,0.68,0.7007315973891347
7z,RandomSampling,0.005,0.81,0.7788192611584568
7z,RandomSampling,0.006,0.83,0.8365813179719019
7z,RandomSampling,0.007,0.87,0.8792954066919234
7z,RandomSampling,0.008,0.9,0.9108721729662121
7z,RandomSampling,0.009,0.93,0.9342084678917881
7z,RandomSampling,0.01,0.95,0.9514495148694271
7z,RandomSampling,0.011,0.95,0.9641834483270406
7z,RandomSampling,0.012,0.96,0.9735856261112653
7z,RandomSampling,0.013,0.97,0.9805256507836428
7z,RandomSampling,0.014,0.99,0.9856467120592407
7z,RandomSampling,0.015,0.99,0.9894243911456159
7z,RandomSampling,0.016,0.99,0.9922102301271877
7z,RandomSampling,0.017,0.99,0.9942640036345654
7z,RandomSampling,0.018,0.99,0.9957776150600656
7z,RandomSampling,0.019,1.0,0.9968927855967948
7z,RandomSampling,0.02,1.0,0.9977141444454076
7z,RandomSampling,0.021,1.0,0.9983189128334926
7z,RandomSampling,0.022,1.0,0.9987640659675106
7z,RandomSampling,0.023,1.0,0.9990916281245487
7z,RandomSampling,0.024,1.0,0.9993325862992288
7z,RandomSampling,0.025,1.0,0.9995097819193264
7z,RandomSampling,0.026,1.0,0.9996400468152099
7z,RandomSampling,0.027,1.0,0.9997357804669085
7z,RandomSampling,0.028,1.0,0.9998061143161391
7z,RandomSampling,0.029,1.0,0.9998577709850179
7z,RandomSampling,0.03,1.0,0.9998956981493824
7z,RandomSampling,0.031,1.0,0.9999235360212856
7z,RandomSampling,0.032,1.0,0.9999439620099438
7z,RandomSampling,0.033,1.0,0.9999589447501951
7z,RandomSampling,0.034,1.0,0.9999699312723759
7z,RandomSampling,0.035,1.0,0.9999779848668492
7z,RandomSampling,0.036,1.0,0.9999838865993852
7z,RandomSampling,0.037,1.0,0.9999882100374801
7z,RandomSampling,0.038,1.0,0.9999913762395667
7z,RandomSampling,0.039,1.0,0.9999936942073172
7z,RandomSampling,0.04,1.0,0.9999953906345211
7z,RandomSampling,0.041,1.0,0.9999966317776108
7z,RandomSampling,0.042,1.0,0.999997539529102
7z,RandomSampling,0.043,1.0,0.9999982032267601
7z,RandomSampling,0.044,1.0,0.9999986883270116
7z,RandomSampling,0.045,1.0,0.9999990427732057
7z,RandomSampling,0.046,1.0,0.9999993016698612
7z,RandomSampling,0.047,1.0,0.9999994907124118
7z,RandomSampling,0.048,1.0,0.9999996287029799
7z,RandomSampling,0.049,1.0,0.9999997293951363
7z,RandomSampling,0.05,1.0,0.999999802846182
7z,RandomSampling,0.051,1.0,0.9999998564081005
7z,RandomSampling,0.052,1.0,0.9999998954534902
7z,RandomSampling,0.053,1.0,0.9999999239071798
7z,RandomSampling,0.054,1.0,0.999999944635414
7z,RandomSampling,0.055,1.0,0.9999999597306739
7z,RandomSampling,0.056,1.0,0.9999999707200532
7z,RandomSampling,0.057,1.0,0.9999999787176533
7z,RandomSampling,0.058,1.0,0.9999999845360036
7z,RandomSampling,0.059,1.0,0.9999999887674942
7z,RandomSampling,0.06,1.0,0.9999999918438739
7z,RandomSampling,0.061,1.0,0.9999999940797061
7z,RandomSampling,0.062,1.0,0.9999999957040981
7z,RandomSampling,0.063,1.0,0.9999999968838608
7z,RandomSampling,0.064,1.0,0.9999999977404057
7z,RandomSampling,0.065,1.0,0.9999999983620718
7z,RandomSampling,0.066,1.0,0.999999998813112
7z,RandomSampling,0.067,1.0,0.9999999991402448
7z,RandomSampling,0.068,1.0,0.999999999377428
7z,RandomSampling,0.069,1.0,0.9999999995493348
7z,RandomSampling,0.07,1.0,0.9999999996738874
7z,RandomSampling,0.071,1.0,0.9999999997640989
7z,RandomSampling,0.072,1.0,0.999999999829415
7z,RandomSampling,0.073,1.0,0.9999999998766895
7z,RandomSampling,0.074,1.0,0.9999999999108939
7z,RandomSampling,0.075,1.0,0.9999999999356333
7z,RandomSampling,0.076,1.0,0.9999999999535203
7z,RandomSampling,0.077,1.0,0.9999999999664485
7z,RandomSampling,0.078,1.0,0.9999999999757893
7z,RandomSampling,0.079,1.0,0.9999999999825357
7z,RandomSampling,0.08,1.0,0.9999999999874069
7z,RandomSampling,0.081,1.0,0.9999999999909225
7z,RandomSampling,0.082,1.0,0.999999999993459
7z,RandomSampling,0.083,1.0,0.9999999999952884
7z,RandomSampling,0.084,1.0,0.9999999999966074
7z,RandomSampling,0.085,1.0,0.999999999997558
7z,RandomSampling,0.086,1.0,0.9999999999982429
7z,RandomSampling,0.087,1.0,0.9999999999987361
7z,RandomSampling,0.088,1.0,0.9999999999990913
7z,RandomSampling,0.089,1.0,0.9999999999993469
7z,RandomSampling,0.09,1.0,0.9999999999995307
7z,RandomSampling,0.091,1.0,0.9999999999996629
7z,RandomSampling,0.092,1.0,0.999999999999758
7z,RandomSampling,0.093,1.0,0.9999999999998263
7z,RandomSampling,0.094,1.0,0.9999999999998754
7z,RandomSampling,0.095,1.0,0.9999999999999106
7z,RandomSampling,0.096,1.0,0.9999999999999359
7z,RandomSampling,0.097,1.0,0.999999999999954
7z,RandomSampling,0.098,1.0,0.9999999999999671
7z,RandomSampling,0.099,1.0,0.9999999999999765
7z,RandomSampling,0.1,1.0,0.9999999999999831
7z,RandomSampling,0.101,1.0,0.9999999999999879
7z,RandomSampling,0.102,1.0,0.9999999999999913
7z,RandomSampling,0.103,1.0,0.9999999999999938
7z,RandomSampling,0.104,1.0,0.9999999999999956
7z,RandomSampling,0.105,1.0,0.9999999999999969
7z,RandomSampling,0.106,1.0,0.9999999999999978
7z,RandomSampling,0.107,1.0,0.9999999999999984
7z,RandomSampling,0.108,1.0,0.9999999999999989
7z,RandomSampling,0.109,1.0,0.9999999999999992
7z,RandomSampling,0.11,1.0,0.9999999999999994
7z,RandomSampling,0.111,1.0,0.9999999999999996
7z,RandomSampling,0.112,1.0,0.9999999999999997
7z,RandomSampling,0.113,1.0,0.9999999999999998
7z,RandomSampling,0.114,1.0,0.9999999999999999
7z,RandomSampling,0.115,1.0,0.9999999999999999
7z,RandomSampling,0.116,1.0,0.9999999999999999
7z,RandomSampling,0.117,1.0,1.0
7z,RandomSampling,0.118,1.0,1.0
7z,RandomSampling,0.119,1.0,1.0
7z,RandomSampling,0.12,1.0,1.0
7z,RandomSampling,0.121,1.0,1.0
7z,RandomSampling,0.122,1.0,1.0
7z,RandomSampling,0.123,1.0,1.0
7z,RandomSampling,0.124,1.0,1.0
7z,RandomSampling,0.125,1.0,1.0
7z,RandomSampling,0.126,1.0,1.0
7z,RandomSampling,0.127,1.0,1.0
7z,RandomSampling,0.128,1.0,1.0
7z,RandomSampling,0.129,1.0,1.0
7z,RandomSampling,0.13,1.0,1.0
7z,RandomSampling,0.131,1.0,1.0
7z,RandomSampling,0.132,1.0,1.0
7z,RandomSampling,0.133,1.0,1.0
7z,RandomSampling,0.134,1.0,1.0
7z,RandomSampling,0.135,1.0,1.0
7z,RandomSampling,0.136,1.0,1.0
7z,RandomSampling,0.137,1.0,1.0
7z,RandomSampling,0.138,1.0,1.0
7z,RandomSampling,0.139,1.0,1.0
7z,RandomSampling,0.14,1.0,1.0
7z,RandomSampling,0.141,1.0,1.0
7z,RandomSampling,0.142,1.0,1.0
7z,RandomSampling,0.143,1.0,1.0
7z,RandomSampling,0.144,1.0,1.0
7z,RandomSampling,0.145,1.0,1.0
7z,RandomSampling,0.146,1.0,1.0
7z,RandomSampling,0.147,1.0,1.0
7z,RandomSampling,0.148,1.0,1.0
7z,RandomSampling,0.149,1.0,1.0
7z,DiversifiedDistanceBased,0.0,0.0,0.0
7z,DiversifiedDistanceBased,0.001,0.29,0.2600336748760569
7z,DiversifiedDistanceBased,0.002,0.44,0.45261495558317344
7z,DiversifiedDistanceBased,0.003,0.56,0.5951979978951478
7z,DiversifiedDistanceBased,0.004,0.7,0.7007315973891347
7z,DiversifiedDistanceBased,0.005,0.83,0.7788192611584568
7z,DiversifiedDistanceBased,0.006,0.85,0.8365813179719019
7z,DiversifiedDistanceBased,0.007,0.88,0.8792954066919234
7z,DiversifiedDistanceBased,0.008,0.89,0.9108721729662121
