Case Study,Sampling Strategy,Robustness,Posterior Confidence,Prior Confidence
7z,RandomSampling,0.0,0.0,0.0
7z,RandomSampling,0.001,0.26,0.2600336748760569
7z,RandomSampling,0.002,0.44,0.45261495558317344
7z,RandomSampling,0.003,0.55,0.5951979978951478
7z,RandomSampling,0.004,0.71,0.7007315973891347
7z,RandomSampling,0.005,0.82,0.7788192611584568
7z,RandomSampling,0.006,0.87,0.8365813179719019
7z,RandomSampling,0.007,0.92,0.8792954066919234
7z,RandomSampling,0.008,0.95,0.9108721729662121
7z,RandomSampling,0.009,0.96,0.9342084678917881
7z,RandomSampling,0.01,0.96,0.9514495148694271
7z,RandomSampling,0.011,0.99,0.9641834483270406
7z,RandomSampling,0.012,1.0,0.9735856261112653
7z,RandomSampling,0.013,1.0,0.9805256507836428
7z,RandomSampling,0.014,1.0,0.9856467120592407
7z,RandomSampling,0.015,1.0,0.9894243911456159
7z,RandomSampling,0.016,1.0,0.9922102301271877
7z,RandomSampling,0.017,1.0,0.9942640036345654
7z,RandomSampling,0.018,1.0,0.9957776150600656
7z,RandomSampling,0.019,1.0,0.9968927855967948
7z,RandomSampling,0.02,1.0,0.9977141444454076
7z,RandomSampling,0.021,1.0,0.9983189128334926
7z,RandomSampling,0.022,1.0,0.9987640659675106
7z,RandomSampling,0.023,1.0,0.9990916281245487
7z,RandomSampling,0.024,1.0,0.9993325862992288
7z,RandomSampling,0.025,1.0,0.9995097819193264
7z,RandomSampling,0.026,1.0,0.9996400468152099
7z,RandomSampling,0.027,1.0,0.9997357804669085
7z,RandomSampling,0.028,1.0,0.9998061143161391
7z,RandomSampling,0.029,1.0,0.9998577709850179
7z,RandomSampling,0.03,1.0,0.9998956981493824
7z,RandomSampling,0.031,1.0,0.9999235360212856
7z,RandomSampling,0.032,1.0,0.9999439620099438
7z,RandomSampling,0.033,1.0,0.9999589447501951
7z,RandomSampling,0.034,1.0,0.9999699312723759
7z,RandomSampling,0.035,1.0,0.9999779848668492
7z,RandomSampling,0.036,1.0,0.9999838865993852
7z,RandomSampling,0.037,1.0,0.9999882100374801
7z,RandomSampling,0.038,1.0,0.9999913762395667
7z,RandomSampling,0.039,1.0,0.9999936942073172
7z,RandomSampling,0.04,1.0,0.9999953906345211
7z,RandomSampling,0.041,1.0,0.9999966317776108
7z,RandomSampling,0.042,1.0,0.999997539529102
7z,RandomSampling,0.043,1.0,0.9999982032267601
7z,RandomSampling,0.044,1.0,0.9999986883270116
7z,RandomSampling,0.045,1.0,0.9999990427732057
7z,RandomSampling,0.046,1.0,0.9999993016698612
7z,RandomSampling,0.047,1.0,0.9999994907124118
7z,RandomSampling,0.048,1.0,0.9999996287029799
7z,RandomSampling,0.049,1.0,0.9999997293951363
7z,RandomSampling,0.05,1.0,0.999999802846182
7z,RandomSampling,0.051,1.0,0.9999998564081005
7z,RandomSampling,0.052,1.0,0.9999998954534902
7z,RandomSampling,0.053,1.0,0.9999999239071798
7z,RandomSampling,0.054,1.0,0.999999944635414
7z,RandomSampling,0.055,1.0,0.9999999597306739
7z,RandomSampling,0.056,1.0,0.9999999707200532
7z,RandomSampling,0.057,1.0,0.9999999787176533
7z,RandomSampling,0.058,1.0,0.9999999845360036
7z,RandomSampling,0.059,1.0,0.9999999887674942
7z,RandomSampling,0.06,1.0,0.9999999918438739
7z,RandomSampling,0.061,1.0,0.9999999940797061
7z,RandomSampling,0.062,1.0,0.9999999957040981
7z,RandomSampling,0.063,1.0,0.9999999968838608
7z,RandomSampling,0.064,1.0,0.9999999977404057
7z,RandomSampling,0.065,1.0,0.9999999983620718
7z,RandomSampling,0.066,1.0,0.999999998813112
7z,RandomSampling,0.067,1.0,0.9999999991402448
7z,RandomSampling,0.068,1.0,0.999999999377428
